Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,231,108,46.8,16,9,56.3,55,27,49.1
San Francisco 49ers,204,104,51.0,20,13,65.0,65,43,66.2
Green Bay Packers,193,97,50.3,25,14,56.0,58,34,58.6
Chicago Bears,216,93,43.1,27,14,51.9,54,31,57.4
Cincinnati Bengals,210,91,43.3,19,13,68.4,50,33,66.0
Denver Broncos,218,91,41.7,20,10,50.0,54,33,61.1
Arizona Cardinals,213,89,41.8,26,11,42.3,58,32,55.2
Buffalo Bills,197,88,44.7,27,16,59.3,59,38,64.4
Tampa Bay Buccaneers,213,86,40.4,29,13,44.8,47,26,55.3
Dallas Cowboys,201,84,41.8,33,21,63.6,61,35,57.4
New Orleans Saints,207,83,40.1,31,11,35.5,42,18,42.9
Houston Texans,218,82,37.6,19,11,57.9,51,23,45.1
New York Giants,210,82,39.0,39,18,46.2,54,26,48.1
Jacksonville Jaguars,208,81,38.9,29,17,58.6,65,39,60.0
New England Patriots,188,80,42.6,24,18,75.0,58,32,55.2
Baltimore Ravens,191,79,41.4,23,13,56.5,59,28,47.5
Kansas City Chiefs,202,79,39.1,31,23,74.2,57,34,59.6
Detroit Lions,201,77,38.3,31,18,58.1,60,39,65.0
Seattle Seahawks,193,76,39.4,11,7,63.6,56,32,57.1
Indianapolis Colts,180,75,41.7,26,17,65.4,62,41,66.1
Pittsburgh Steelers,194,75,38.7,21,11,52.4,47,28,59.6
New York Jets,216,75,34.7,38,17,44.7,37,16,43.2
Cleveland Browns,221,74,33.5,28,11,39.3,37,20,54.1
Carolina Panthers,197,73,37.1,38,25,65.8,43,22,51.2
Philadelphia Eagles,196,72,36.7,18,11,61.1,41,29,70.7
Tennessee Titans,218,70,32.1,32,15,46.9,32,18,56.3
Las Vegas Raiders,197,68,34.5,30,13,43.3,34,18,52.9
Washington Commanders,178,65,36.5,25,15,60.0,42,27,64.3
Los Angeles Rams,163,62,38.0,25,18,72.0,69,45,65.2
Miami Dolphins,179,62,34.6,22,11,50.0,45,26,57.8
Minnesota Vikings,185,60,32.4,23,14,60.9,47,28,59.6
Atlanta Falcons,180,60,33.3,27,13,48.1,45,29,64.4
