Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Detroit Lions,14,428,5319,858,6.2,8,3,281,315,457,3483,30,5,7.2,176,373,1836,21,4.9,92,86,618,13,46.8,5.2,162.05
Los Angeles Rams,14,420,5370,865,6.2,12,7,329,312,471,3600,37,5,7.3,193,375,1770,16,4.7,105,59,464,31,46.6,8.2,186.35
Buffalo Bills,14,411,5337,887,6.0,18,8,308,287,412,3118,25,10,7.0,163,442,2219,24,5.0,116,89,745,29,46.5,11.8,163.12
Dallas Cowboys,14,407,5557,923,6.0,18,7,329,363,531,3866,27,11,7.0,195,368,1691,15,4.6,97,108,913,37,49.3,12.2,153.20
Seattle Seahawks,14,405,4909,819,6.0,23,11,276,265,394,3327,22,12,8.1,149,407,1582,14,3.9,97,86,688,30,48.0,14.0,75.61
Indianapolis Colts,14,392,5005,841,6.0,16,6,298,298,445,3206,20,10,6.8,166,372,1799,24,4.8,106,86,699,26,50.4,10.8,140.33
New England Patriots,14,382,5099,855,6.0,14,7,286,291,411,3385,23,7,7.5,165,401,1714,16,4.3,101,88,732,20,44.4,9.9,130.15
Jacksonville Jaguars,14,376,4700,899,5.2,16,5,289,274,458,3010,23,11,6.1,155,409,1690,18,4.1,104,117,985,30,40.8,10.2,40.80
Chicago Bears,14,365,5167,927,5.6,10,4,296,270,465,3041,22,6,6.2,154,439,2126,17,4.8,123,99,801,19,43.3,6.4,80.52
Green Bay Packers,14,348,4786,846,5.7,10,4,280,286,429,3148,24,6,7.0,157,396,1638,16,4.1,99,92,693,24,45.7,7.2,149.58
San Francisco 49ers,14,344,4865,906,5.4,19,6,310,330,480,3446,25,13,6.9,192,404,1419,12,3.5,97,73,529,21,47.2,13.4,89.95
Denver Broncos,14,342,4837,898,5.4,14,5,278,320,505,3164,23,9,6.1,164,376,1673,16,4.4,90,112,1026,24,37.8,7.7,79.04
Pittsburgh Steelers,14,336,4034,780,5.2,14,5,239,286,423,2739,24,9,6.1,123,332,1295,12,3.9,88,84,635,28,39.0,8.9,45.66
Baltimore Ravens,14,335,4544,798,5.7,20,10,254,235,364,2497,19,10,6.2,121,394,2047,16,5.2,110,77,595,23,40.9,12.8,38.07
Kansas City Chiefs,14,328,5011,914,5.5,13,1,308,318,507,3416,22,12,6.3,174,373,1595,15,4.3,110,100,837,24,44.9,9.6,126.93
Tampa Bay Buccaneers,14,327,4433,878,5.0,11,4,270,284,466,2848,22,7,5.7,139,381,1585,12,4.2,95,76,591,36,39.5,7.2,30.77
Houston Texans,14,323,4588,901,5.1,10,3,269,308,487,3071,20,7,5.9,157,383,1517,8,4.0,80,99,813,32,42.3,5.8,35.42
Philadelphia Eagles,14,320,4409,828,5.3,13,7,251,262,400,2790,22,6,6.5,136,399,1619,14,4.1,93,100,853,22,35.4,7.5,53.04
Los Angeles Chargers,14,315,4731,905,5.2,18,6,278,303,464,3003,23,12,5.8,152,390,1728,7,4.4,100,92,703,26,44.8,11.2,35.95
Cincinnati Bengals,14,314,4396,856,5.1,22,6,276,330,532,3172,27,16,5.7,164,295,1224,6,4.1,78,75,545,34,38.1,15.0,0.81
Arizona Cardinals,14,302,4668,911,5.1,18,9,287,367,549,3338,24,9,5.6,185,315,1330,9,4.2,78,98,732,24,36.1,11.1,29.65
New York Giants,14,300,4805,905,5.3,15,6,288,272,450,3054,19,9,6.3,136,418,1751,18,4.2,115,102,880,37,35.9,9.7,59.60
Miami Dolphins,14,296,4245,783,5.4,19,4,246,272,402,2538,20,15,5.8,147,349,1707,11,4.9,87,81,662,12,39.0,12.8,31.74
Washington Commanders,14,291,4597,835,5.5,20,10,266,246,401,2678,18,10,6.2,133,401,1919,14,4.8,102,98,779,31,36.3,13.3,35.70
Minnesota Vikings,14,289,3911,781,5.0,27,7,242,252,414,2479,18,20,5.4,133,320,1432,11,4.5,81,95,756,28,35.1,15.9,-31.99
Atlanta Falcons,14,281,4766,861,5.5,15,9,277,280,458,3048,15,6,6.4,154,382,1718,15,4.5,96,92,715,27,35.5,8.6,30.79
New York Jets,14,276,3857,838,4.6,20,9,237,245,403,2058,14,11,4.5,119,385,1799,10,4.7,100,94,775,18,32.2,11.8,-62.41
Carolina Panthers,14,264,4326,856,5.1,18,8,264,270,424,2568,20,10,5.6,145,401,1758,8,4.4,95,82,666,24,35.6,12.6,19.78
New Orleans Saints,14,226,4156,880,4.7,20,9,264,319,479,2848,14,11,5.5,145,361,1308,7,3.6,85,103,766,34,30.1,13.3,-31.52
Cleveland Browns,14,226,3700,864,4.3,20,6,224,275,483,2407,14,14,4.6,113,341,1293,9,3.8,81,93,711,30,24.8,11.5,-127.75
Tennessee Titans,14,225,3507,809,4.3,17,10,211,278,469,2267,11,7,4.4,128,291,1240,7,4.3,66,108,827,17,28.2,10.7,-98.38
Las Vegas Raiders,14,196,3418,780,4.4,18,3,218,291,436,2427,17,15,5.0,140,290,991,4,3.4,54,92,765,24,25.5,12.1,-89.27
