Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Cleveland Browns,34,16,47.1,6,3,50.0,5,4,80.0
San Francisco 49ers,29,15,51.7,2,2,100.0,7,4,57.1
Las Vegas Raiders,31,14,45.2,3,1,33.3,4,1,25.0
Philadelphia Eagles,27,13,48.1,1,1,100.0,5,5,100.0
Tampa Bay Buccaneers,28,13,46.4,2,2,100.0,4,3,75.0
Dallas Cowboys,25,13,52.0,2,1,50.0,6,5,83.3
Indianapolis Colts,28,13,46.4,5,3,60.0,12,5,41.7
Cincinnati Bengals,28,13,46.4,1,1,100.0,7,5,71.4
Carolina Panthers,30,13,43.3,6,3,50.0,5,3,60.0
Atlanta Falcons,30,12,40.0,4,3,75.0,7,2,28.6
Los Angeles Rams,25,12,48.0,2,2,100.0,9,5,55.6
Buffalo Bills,29,12,41.4,3,3,100.0,11,7,63.6
Jacksonville Jaguars,25,11,44.0,3,2,66.7,11,5,45.5
Los Angeles Chargers,24,11,45.8,3,2,66.7,7,3,42.9
New England Patriots,26,11,42.3,2,2,100.0,7,4,57.1
Denver Broncos,24,10,41.7,2,0,0.0,6,4,66.7
Chicago Bears,25,10,40.0,3,0,0.0,4,4,100.0
New York Giants,30,10,33.3,4,2,50.0,7,1,14.3
Seattle Seahawks,24,9,37.5,2,1,50.0,6,3,50.0
Baltimore Ravens,23,9,39.1,1,1,100.0,7,4,57.1
Pittsburgh Steelers,25,9,36.0,2,1,50.0,5,4,80.0
Washington Commanders,27,9,33.3,3,1,33.3,5,4,80.0
New Orleans Saints,25,9,36.0,4,2,50.0,7,4,57.1
Miami Dolphins,20,9,45.0,4,1,25.0,3,2,66.7
Kansas City Chiefs,26,9,34.6,6,5,83.3,5,2,40.0
Green Bay Packers,22,9,40.9,2,1,50.0,9,6,66.7
Detroit Lions,25,9,36.0,5,4,80.0,11,7,63.6
Arizona Cardinals,22,9,40.9,1,1,100.0,7,4,57.1
Tennessee Titans,29,8,27.6,2,1,50.0,5,1,20.0
New York Jets,25,7,28.0,5,4,80.0,5,4,80.0
Minnesota Vikings,23,7,30.4,2,1,50.0,4,2,50.0
Houston Texans,18,4,22.2,2,1,50.0,3,0,0.0
