Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,216,102,47.2,16,9,56.3,50,25,50.0
San Francisco 49ers,194,97,50.0,19,12,63.2,60,38,63.3
Green Bay Packers,187,94,50.3,23,14,60.9,56,33,58.9
Chicago Bears,204,87,42.6,25,12,48.0,51,30,58.8
Arizona Cardinals,200,86,43.0,22,8,36.4,56,31,55.4
Buffalo Bills,182,82,45.1,24,14,58.3,56,36,64.3
Cincinnati Bengals,195,81,41.5,18,12,66.7,45,28,62.2
Denver Broncos,200,80,40.0,19,9,47.4,50,31,62.0
Tampa Bay Buccaneers,200,80,40.0,27,11,40.7,44,24,54.5
Houston Texans,207,79,38.2,19,11,57.9,51,23,45.1
New Orleans Saints,196,78,39.8,31,11,35.5,40,16,40.0
Dallas Cowboys,181,76,42.0,27,15,55.6,59,33,55.9
New England Patriots,179,76,42.5,22,16,72.7,53,27,50.9
New York Giants,197,76,38.6,38,17,44.7,49,23,46.9
Kansas City Chiefs,191,75,39.3,29,22,75.9,56,33,58.9
Jacksonville Jaguars,194,74,38.1,27,16,59.3,60,37,61.7
Detroit Lions,187,72,38.5,29,16,55.2,59,38,64.4
Carolina Panthers,186,72,38.7,33,23,69.7,41,21,51.2
Pittsburgh Steelers,179,72,40.2,18,11,61.1,45,28,62.2
Indianapolis Colts,169,71,42.0,25,17,68.0,59,39,66.1
Cleveland Browns,210,70,33.3,27,11,40.7,36,20,55.6
New York Jets,200,70,35.0,32,15,46.9,35,16,45.7
Philadelphia Eagles,183,69,37.7,18,11,61.1,39,28,71.8
Baltimore Ravens,177,69,39.0,23,13,56.5,53,24,45.3
Seattle Seahawks,177,67,37.9,10,7,70.0,50,29,58.0
Tennessee Titans,203,65,32.0,29,13,44.8,30,17,56.7
Las Vegas Raiders,184,65,35.3,25,9,36.0,32,17,53.1
Washington Commanders,172,64,37.2,25,15,60.0,39,26,66.7
Los Angeles Rams,163,62,38.0,25,18,72.0,69,45,65.2
Atlanta Falcons,180,60,33.3,27,13,48.1,45,29,64.4
Miami Dolphins,167,58,34.7,22,11,50.0,42,25,59.5
Minnesota Vikings,172,57,33.1,23,14,60.9,46,27,58.7
