Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,199,70,35.2,25,13,52.0,49,23,46.9
New Orleans Saints,213,73,34.3,34,18,52.9,47,25,53.2
Seattle Seahawks,234,75,32.1,45,23,51.1,52,26,50.0
San Francisco 49ers,192,77,40.1,22,12,54.5,52,28,53.8
Minnesota Vikings,223,77,34.5,24,16,66.7,49,21,42.9
New England Patriots,200,77,38.5,30,10,33.3,40,27,67.5
Chicago Bears,191,78,40.8,23,11,47.8,57,32,56.1
New York Giants,199,78,39.2,22,16,72.7,57,36,63.2
Tampa Bay Buccaneers,200,79,39.5,30,14,46.7,43,30,69.8
New York Jets,212,79,37.3,22,16,72.7,68,44,64.7
Detroit Lions,214,79,36.9,32,21,65.6,52,31,59.6
Denver Broncos,237,80,33.8,27,14,51.9,47,20,42.6
Houston Texans,221,80,36.2,21,10,47.6,44,25,56.8
Tennessee Titans,204,81,39.7,16,12,75.0,58,38,65.5
Los Angeles Rams,226,82,36.3,42,23,54.8,52,24,46.2
Cleveland Browns,226,82,36.3,18,7,38.9,50,29,58.0
Miami Dolphins,208,83,39.9,28,20,71.4,62,37,59.7
Buffalo Bills,203,84,41.4,19,10,52.6,47,28,59.6
Green Bay Packers,218,86,39.4,36,20,55.6,52,31,59.6
Baltimore Ravens,230,87,37.8,41,23,56.1,63,32,50.8
Atlanta Falcons,218,87,39.9,32,19,59.4,51,28,54.9
Jacksonville Jaguars,218,88,40.4,31,11,35.5,47,28,59.6
Washington Commanders,213,88,41.3,32,20,62.5,62,42,67.7
Cincinnati Bengals,205,89,43.4,27,18,66.7,62,39,62.9
Arizona Cardinals,209,90,43.1,25,12,48.0,68,43,63.2
Philadelphia Eagles,227,92,40.5,29,11,37.9,49,26,53.1
Indianapolis Colts,219,93,42.5,28,15,53.6,67,36,53.7
Dallas Cowboys,201,95,47.3,21,13,61.9,66,44,66.7
Kansas City Chiefs,225,98,43.6,23,6,26.1,51,27,52.9
Pittsburgh Steelers,236,98,41.5,38,28,73.7,55,28,50.9
Carolina Panthers,210,99,47.1,22,14,63.6,58,32,55.2
Las Vegas Raiders,229,106,46.3,21,13,61.9,64,37,57.8
