Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Buffalo Bills,22,6,27.3,3,3,100.0,4,2,50.0
Chicago Bears,22,7,31.8,1,1,100.0,10,8,80.0
San Francisco 49ers,21,7,33.3,2,1,50.0,6,4,66.7
Carolina Panthers,21,8,38.1,3,3,100.0,9,4,44.4
Tampa Bay Buccaneers,24,8,33.3,5,3,60.0,4,1,25.0
Los Angeles Rams,24,8,33.3,2,2,100.0,4,1,25.0
Las Vegas Raiders,25,8,32.0,3,2,66.7,6,2,33.3
Denver Broncos,27,8,29.6,3,0,0.0,8,2,25.0
Washington Commanders,28,9,32.1,3,1,33.3,6,3,50.0
New York Jets,24,9,37.5,2,2,100.0,7,5,71.4
New England Patriots,23,9,39.1,3,1,33.3,3,2,66.7
Minnesota Vikings,27,9,33.3,1,0,0.0,7,3,42.9
Indianapolis Colts,19,9,47.4,2,1,50.0,4,4,100.0
Cleveland Browns,26,10,38.5,1,1,100.0,7,5,71.4
Green Bay Packers,31,10,32.3,7,4,57.1,5,2,40.0
Arizona Cardinals,29,10,34.5,6,4,66.7,8,4,50.0
New York Giants,25,10,40.0,1,1,100.0,7,6,85.7
Philadelphia Eagles,23,11,47.8,4,2,50.0,5,3,60.0
Atlanta Falcons,25,11,44.0,3,2,66.7,2,1,50.0
Tennessee Titans,27,11,40.7,3,1,33.3,9,4,44.4
Detroit Lions,23,11,47.8,3,1,33.3,7,5,71.4
Seattle Seahawks,29,12,41.4,4,3,75.0,7,3,42.9
Kansas City Chiefs,27,12,44.4,2,2,100.0,6,4,66.7
Houston Texans,27,13,48.1,2,2,100.0,6,4,66.7
Pittsburgh Steelers,28,13,46.4,4,2,50.0,7,5,71.4
Dallas Cowboys,27,14,51.9,2,1,50.0,8,4,50.0
New Orleans Saints,28,14,50.0,0,0,,5,4,80.0
Miami Dolphins,27,14,51.9,4,4,100.0,10,6,60.0
Baltimore Ravens,33,14,42.4,4,2,50.0,9,7,77.8
Los Angeles Chargers,32,14,43.8,5,3,60.0,6,1,16.7
Jacksonville Jaguars,29,14,48.3,3,1,33.3,5,3,60.0
Cincinnati Bengals,29,15,51.7,4,2,50.0,9,5,55.6
