Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Detroit Lions,13,394,4923,796,6.2,8,3,260,290,416,3157,27,5,7.1,159,353,1766,20,5.0,89,82,593,12,46.2,5.6,144.40
Seattle Seahawks,13,387,4595,760,6.0,23,11,261,243,358,3063,22,12,8.2,140,385,1532,14,4.0,91,81,654,30,47.5,15.1,78.17
Dallas Cowboys,13,381,5134,854,6.0,18,7,304,340,493,3581,27,11,7.0,183,339,1553,13,4.6,85,101,855,36,48.6,13.0,141.49
Los Angeles Rams,13,379,4851,796,6.1,11,7,299,288,433,3240,35,4,7.2,173,346,1611,13,4.7,97,57,456,29,45.2,8.1,163.80
Buffalo Bills,13,376,4988,820,6.1,18,8,286,268,384,2937,22,10,7.1,152,405,2051,22,5.1,107,87,730,27,46.3,12.7,143.80
Indianapolis Colts,13,376,4790,783,6.1,15,6,284,280,418,3088,19,9,7.0,158,342,1702,24,5.0,101,83,685,25,51.2,10.9,145.65
New England Patriots,13,351,4714,804,5.9,13,7,267,277,388,3246,23,6,7.6,159,376,1468,12,3.9,88,81,667,20,43.9,9.8,113.06
Chicago Bears,13,334,4806,863,5.6,10,4,275,253,437,2822,20,6,6.2,142,406,1984,15,4.9,115,95,776,18,43.8,6.9,72.84
Jacksonville Jaguars,13,328,4262,840,5.1,15,4,265,254,426,2680,18,11,5.9,139,382,1582,17,4.1,98,112,925,28,38.6,10.3,21.02
Green Bay Packers,13,322,4424,783,5.7,8,4,261,262,389,2901,23,4,7.1,145,376,1523,15,4.1,94,82,621,22,44.9,6.3,145.17
Kansas City Chiefs,13,315,4772,855,5.6,11,1,291,299,474,3226,22,10,6.4,165,352,1546,14,4.4,104,91,773,22,45.7,8.7,130.34
Cincinnati Bengals,13,314,4098,785,5.2,20,6,258,305,493,2974,27,14,5.7,154,266,1124,6,4.2,72,71,515,32,40.6,14.5,19.33
Baltimore Ravens,13,311,4227,758,5.6,19,10,239,227,352,2369,17,9,6.1,115,370,1858,16,5.0,101,75,585,23,41.1,12.8,29.07
Pittsburgh Steelers,13,308,3698,718,5.2,14,5,217,263,396,2538,22,9,6.1,112,300,1160,10,3.9,80,80,610,25,38.7,9.5,28.72
Denver Broncos,13,308,4446,833,5.3,13,4,257,297,471,2862,19,9,5.9,149,345,1584,15,4.6,86,106,966,22,37.2,7.6,67.05
San Francisco 49ers,13,307,4435,836,5.3,18,5,282,307,450,3154,22,13,6.7,174,366,1281,11,3.5,90,67,499,18,44.8,13.4,69.66
Los Angeles Chargers,13,299,4436,843,5.3,17,6,260,284,435,2802,22,11,5.8,143,361,1634,7,4.5,94,87,653,23,45.0,10.8,36.19
Tampa Bay Buccaneers,13,299,4095,817,5.0,10,4,242,265,432,2598,20,6,5.7,123,359,1497,11,4.2,90,72,566,29,38.7,7.0,17.65
Philadelphia Eagles,13,289,4022,762,5.3,13,7,224,247,382,2586,19,6,6.3,124,352,1436,13,4.1,81,97,818,19,33.6,5.6,29.47
Houston Texans,13,283,4189,838,5.0,10,3,246,286,458,2815,17,7,5.8,144,350,1374,8,3.9,71,94,773,31,40.0,6.2,17.68
Arizona Cardinals,13,282,4361,848,5.1,16,8,265,340,509,3103,21,8,5.6,171,294,1258,9,4.3,72,96,698,22,36.3,11.1,27.03
Miami Dolphins,13,281,3960,735,5.4,18,4,230,250,374,2316,18,14,5.8,132,333,1644,11,4.9,86,75,631,12,39.7,13.0,29.71
New York Giants,13,279,4421,838,5.3,14,6,266,252,413,2816,17,8,6.3,124,389,1605,17,4.1,108,96,818,34,36.8,9.8,60.27
Washington Commanders,13,262,4257,777,5.5,18,8,247,236,382,2483,17,10,6.0,123,364,1774,13,4.9,94,87,712,30,35.8,13.0,38.78
New York Jets,13,256,3573,770,4.6,17,9,218,223,370,1904,13,8,4.6,108,353,1669,9,4.7,94,88,731,16,32.1,10.7,-54.43
Minnesota Vikings,13,255,3584,729,4.9,26,7,221,237,390,2229,16,19,5.1,122,292,1355,9,4.6,74,92,739,25,33.3,16.3,-46.66
Atlanta Falcons,13,252,4290,795,5.4,14,8,250,250,414,2683,12,6,6.2,135,361,1607,14,4.5,90,73,590,25,34.5,8.5,19.34
Carolina Panthers,13,247,4045,800,5.1,17,7,249,255,400,2414,19,10,5.6,138,370,1631,7,4.4,88,71,563,23,35.4,12.6,13.36
Cleveland Browns,13,223,3508,808,4.3,17,6,215,257,448,2265,14,11,4.7,106,325,1243,9,3.8,79,87,690,30,26.1,10.5,-103.39
New Orleans Saints,13,206,3819,817,4.7,20,9,237,295,446,2592,13,11,5.4,131,336,1227,6,3.7,78,94,688,28,28.9,14.1,-43.88
Tennessee Titans,13,201,3201,760,4.2,17,10,193,260,440,2097,9,7,4.3,120,271,1104,6,4.1,57,101,770,16,27.1,11.4,-111.75
Las Vegas Raiders,13,196,3343,738,4.5,17,3,211,276,411,2398,17,14,5.2,136,277,945,4,3.4,52,89,726,23,27.0,12.1,-72.46
