Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
San Francisco 49ers,86,39,45.3,10,6,60.0,21,9,42.9
Los Angeles Chargers,84,38,45.2,6,4,66.7,20,7,35.0
Arizona Cardinals,82,36,43.9,5,4,80.0,23,13,56.5
Green Bay Packers,65,34,52.3,4,3,75.0,21,15,71.4
Las Vegas Raiders,80,33,41.3,10,5,50.0,18,7,38.9
Miami Dolphins,71,33,46.5,7,4,57.1,16,12,75.0
New York Giants,81,32,39.5,14,6,42.9,22,9,40.9
Cleveland Browns,93,32,34.4,16,10,62.5,15,8,53.3
Indianapolis Colts,66,31,47.0,8,6,75.0,29,19,65.5
Dallas Cowboys,72,31,43.1,8,6,75.0,23,15,65.2
Kansas City Chiefs,75,31,41.3,13,11,84.6,25,16,64.0
Tampa Bay Buccaneers,73,30,41.1,5,3,60.0,19,10,52.6
Denver Broncos,82,30,36.6,6,3,50.0,17,11,64.7
Detroit Lions,72,29,40.3,11,7,63.6,27,20,74.1
New Orleans Saints,77,29,37.7,9,3,33.3,19,8,42.1
New England Patriots,70,29,41.4,10,8,80.0,20,12,60.0
Carolina Panthers,74,29,39.2,14,9,64.3,19,12,63.2
Jacksonville Jaguars,79,28,35.4,9,6,66.7,20,11,55.0
Atlanta Falcons,67,28,41.8,9,4,44.4,16,7,43.8
Cincinnati Bengals,76,28,36.8,3,3,100.0,13,10,76.9
Buffalo Bills,68,28,41.2,5,3,60.0,25,16,64.0
Chicago Bears,65,28,43.1,6,2,33.3,14,8,57.1
Baltimore Ravens,69,28,40.6,12,4,33.3,18,8,44.4
Los Angeles Rams,67,27,40.3,10,6,60.0,26,13,50.0
Philadelphia Eagles,75,26,34.7,9,7,77.8,16,14,87.5
Seattle Seahawks,67,25,37.3,4,2,50.0,21,14,66.7
Tennessee Titans,82,23,28.0,8,4,50.0,11,5,45.5
New York Jets,76,23,30.3,15,8,53.3,13,8,61.5
Pittsburgh Steelers,57,22,38.6,3,1,33.3,14,10,71.4
Houston Texans,60,21,35.0,7,6,85.7,11,6,54.5
Washington Commanders,60,20,33.3,7,5,71.4,15,11,73.3
Minnesota Vikings,58,18,31.0,6,4,66.7,15,10,66.7
