Tm,W,L,T,W-L%
Denver Broncos,12,3,0,.800
New England Patriots,12,3,0,.800
Seattle Seahawks,12,3,0,.800
Buffalo Bills,11,4,0,.733
Chicago Bears,11,4,0,.733
Jacksonville Jaguars,11,4,0,.733
Los Angeles Chargers,11,4,0,.733
Los Angeles Rams,11,4,0,.733
San Francisco 49ers,11,4,0,.733
Houston Texans,10,5,0,.667
Philadelphia Eagles,10,5,0,.667
Green Bay Packers,9,5,1,.633
Pittsburgh Steelers,9,6,0,.600
Carolina Panthers,8,7,0,.533
Detroit Lions,8,7,0,.533
Indianapolis Colts,8,7,0,.533
Baltimore Ravens,7,8,0,.467
Minnesota Vikings,7,8,0,.467
Tampa Bay Buccaneers,7,8,0,.467
Dallas Cowboys,6,8,1,.433
Atlanta Falcons,6,9,0,.400
Kansas City Chiefs,6,9,0,.400
Miami Dolphins,6,9,0,.400
Cincinnati Bengals,5,10,0,.333
New Orleans Saints,5,10,0,.333
Washington Commanders,4,11,0,.267
Arizona Cardinals,3,12,0,.200
Cleveland Browns,3,12,0,.200
New York Jets,3,12,0,.200
Tennessee Titans,3,12,0,.200
Las Vegas Raiders,2,13,0,.133
New York Giants,2,13,0,.133
