Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,172,83,48.3,15,9,60.0,41,21,51.2
San Francisco 49ers,168,81,48.2,17,10,58.8,48,30,62.5
Green Bay Packers,150,74,49.3,17,12,70.6,46,31,67.4
New York Giants,175,72,41.1,31,14,45.2,42,20,47.6
Chicago Bears,164,72,43.9,18,8,44.4,41,24,58.5
Arizona Cardinals,163,70,42.9,18,7,38.9,47,27,57.4
New England Patriots,157,67,42.7,18,14,77.8,47,24,51.1
Buffalo Bills,149,66,44.3,17,10,58.8,42,26,61.9
Tampa Bay Buccaneers,164,65,39.6,20,9,45.0,36,18,50.0
Dallas Cowboys,145,64,44.1,18,9,50.0,48,29,60.4
Denver Broncos,163,64,39.3,9,5,55.6,41,24,58.5
Kansas City Chiefs,155,64,41.3,26,21,80.8,50,31,62.0
Cincinnati Bengals,156,62,39.7,12,8,66.7,35,19,54.3
New York Jets,158,59,37.3,23,11,47.8,28,15,53.6
Carolina Panthers,160,59,36.9,30,21,70.0,38,19,50.0
New Orleans Saints,157,59,37.6,26,9,34.6,31,12,38.7
Detroit Lions,150,58,38.7,25,13,52.0,46,30,65.2
Houston Texans,161,57,35.4,19,11,57.9,39,17,43.6
Washington Commanders,141,56,39.7,21,13,61.9,33,23,69.7
Jacksonville Jaguars,155,55,35.5,25,15,60.0,44,26,59.1
Seattle Seahawks,140,55,39.3,9,6,66.7,41,25,61.0
Indianapolis Colts,135,55,40.7,23,17,73.9,52,34,65.4
Pittsburgh Steelers,136,54,39.7,12,5,41.7,35,23,65.7
Las Vegas Raiders,149,53,35.6,21,8,38.1,29,15,51.7
Baltimore Ravens,141,53,37.6,19,10,52.6,43,20,46.5
Miami Dolphins,139,52,37.4,19,9,47.4,34,17,50.0
Cleveland Browns,168,52,31.0,25,11,44.0,28,15,53.6
Philadelphia Eagles,148,51,34.5,17,11,64.7,29,22,75.9
Los Angeles Rams,126,49,38.9,19,13,68.4,53,35,66.0
Tennessee Titans,160,47,29.4,25,11,44.0,21,10,47.6
Atlanta Falcons,142,47,33.1,19,9,47.4,34,22,64.7
Minnesota Vikings,140,42,30.0,17,8,47.1,35,19,54.3
