Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,191,90,47.1,15,9,60.0,44,22,50.0
Green Bay Packers,162,82,50.6,17,12,70.6,47,32,68.1
San Francisco 49ers,168,81,48.2,17,10,58.8,48,30,62.5
Chicago Bears,180,80,44.4,20,9,45.0,45,26,57.8
Arizona Cardinals,175,74,42.3,19,7,36.8,51,29,56.9
Buffalo Bills,160,72,45.0,21,13,61.9,47,29,61.7
New York Giants,175,72,41.1,31,14,45.2,42,20,47.6
Cincinnati Bengals,168,72,42.9,12,8,66.7,38,22,57.9
Denver Broncos,175,71,40.6,12,6,50.0,44,26,59.1
Dallas Cowboys,160,70,43.8,20,11,55.0,51,30,58.8
Kansas City Chiefs,169,68,40.2,29,22,75.9,52,32,61.5
Tampa Bay Buccaneers,177,68,38.4,27,11,40.7,38,19,50.0
New England Patriots,157,67,42.7,18,14,77.8,47,24,51.1
Houston Texans,179,65,36.3,19,11,57.9,43,19,44.2
New Orleans Saints,168,64,38.1,27,9,33.3,34,14,41.2
Jacksonville Jaguars,170,62,36.5,27,16,59.3,49,29,59.2
Indianapolis Colts,146,61,41.8,24,17,70.8,56,36,64.3
Detroit Lions,158,61,38.6,25,13,52.0,51,34,66.7
Seattle Seahawks,153,61,39.9,9,6,66.7,45,27,60.0
New York Jets,170,60,35.3,25,12,48.0,31,15,48.4
Baltimore Ravens,159,60,37.7,23,13,56.5,49,22,44.9
Pittsburgh Steelers,150,60,40.0,13,6,46.2,39,25,64.1
Washington Commanders,151,59,39.1,24,14,58.3,35,23,65.7
Carolina Panthers,160,59,36.9,30,21,70.0,38,19,50.0
Cleveland Browns,182,58,31.9,25,11,44.0,31,18,58.1
Las Vegas Raiders,158,56,35.4,24,9,37.5,31,16,51.6
Philadelphia Eagles,161,55,34.2,17,11,64.7,31,22,71.0
Miami Dolphins,149,54,36.2,19,9,47.4,38,21,55.3
Tennessee Titans,177,53,29.9,25,11,44.0,23,12,52.2
Los Angeles Rams,134,52,38.8,19,13,68.4,57,38,66.7
Minnesota Vikings,151,48,31.8,19,10,52.6,39,23,59.0
Atlanta Falcons,155,48,31.0,21,10,47.6,38,22,57.9
