Tm,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
Houston Texans,265,4359,921,4.7,26,8,257,297,503,2842,18,18,5.2,151,372,1517,12,4.1,73,104,826,33,25.9,13.8,66.04
Seattle Seahawks,289,4687,1023,4.6,24,7,282,356,573,3177,20,17,5.1,168,406,1510,9,3.7,82,114,871,32,29.4,12.8,66.97
Los Angeles Rams,299,4906,966,5.1,24,9,290,341,537,3320,23,15,5.7,170,388,1586,7,4.1,97,108,835,23,33.3,15.4,15.28
Philadelphia Eagles,301,5067,1017,5.0,19,8,303,295,522,3095,13,11,5.5,148,453,1972,18,4.4,123,87,778,32,34.9,10.7,11.36
Denver Broncos,308,4513,992,4.5,12,3,286,323,549,3078,18,9,5.0,164,379,1435,11,3.8,79,113,818,43,36.3,6.1,10.17
New England Patriots,310,4839,919,5.3,17,8,289,334,502,3173,24,9,6.0,164,386,1666,11,4.3,99,101,766,26,33.1,10.0,-14.70
Kansas City Chiefs,314,4922,931,5.3,12,3,279,329,483,3243,18,9,6.3,153,416,1679,14,4.0,98,106,959,28,38.3,7.8,-41.98
Los Angeles Chargers,321,4609,908,5.1,23,4,272,293,482,2934,16,19,5.6,145,385,1675,16,4.4,97,99,823,30,36.4,12.7,-4.01
Jacksonville Jaguars,329,4968,983,5.1,30,9,312,376,602,3590,25,21,5.7,192,350,1378,12,3.9,80,106,934,40,32.4,15.9,22.75
Minnesota Vikings,330,4683,975,4.8,21,13,290,273,436,2701,15,8,5.6,131,494,1982,13,4.0,134,106,828,25,36.8,11.7,26.51
Green Bay Packers,344,4938,997,5.0,13,6,307,339,518,3074,24,7,5.6,164,445,1864,14,4.2,112,97,847,31,42.7,8.0,-74.43
Buffalo Bills,357,4861,904,5.4,20,7,291,266,442,2615,18,13,5.5,139,427,2246,24,5.3,127,79,704,25,38.5,11.8,-45.65
San Francisco 49ers,358,5423,961,5.6,16,10,321,378,558,3770,29,6,6.5,188,385,1653,12,4.3,105,102,709,28,38.9,8.9,-110.05
Atlanta Falcons,360,4850,926,5.2,18,6,293,286,456,2927,24,12,5.8,159,420,1923,11,4.6,110,85,672,24,43.5,10.4,-63.75
Cleveland Browns,361,4458,949,4.7,16,6,261,279,448,2621,22,10,5.3,145,450,1837,14,4.1,94,119,823,22,33.9,7.5,57.54
Pittsburgh Steelers,363,5709,1064,5.4,26,12,340,385,595,3924,27,14,6.1,197,424,1785,10,4.2,116,98,804,27,40.7,14.4,-58.14
New Orleans Saints,364,4888,992,4.9,19,10,299,294,459,2887,24,9,5.8,151,492,2001,12,4.1,120,111,871,28,40.1,11.4,-7.51
Carolina Panthers,364,5225,950,5.5,20,6,304,320,485,3269,19,14,6.4,168,437,1956,20,4.5,114,103,784,22,42.5,11.8,-89.42
Baltimore Ravens,372,5637,1016,5.5,20,9,310,368,578,3924,22,11,6.5,184,410,1713,16,4.2,101,101,788,25,42.9,11.3,-39.66
Indianapolis Colts,374,5608,1050,5.3,21,7,350,380,595,4010,23,14,6.3,207,416,1598,15,3.8,113,96,840,30,42.4,12.7,-90.06
Miami Dolphins,386,5472,967,5.7,20,11,321,354,493,3464,28,9,6.5,178,435,2008,14,4.6,107,100,789,36,40.7,11.1,-99.89
Chicago Bears,396,5717,953,6.0,32,10,321,328,491,3552,31,22,6.8,173,430,2165,15,5.0,118,89,643,30,38.0,18.7,-86.37
Tampa Bay Buccaneers,397,5448,952,5.7,20,8,299,355,533,3783,28,12,6.6,193,382,1665,16,4.4,85,123,948,21,40.2,11.2,-54.93
Detroit Lions,397,5372,998,5.4,18,6,314,322,522,3490,29,12,6.1,183,428,1882,16,4.4,95,87,676,36,40.8,10.1,-69.05
Las Vegas Raiders,420,5235,1010,5.2,14,6,320,341,493,3333,23,8,6.4,169,488,1902,22,3.9,122,111,850,29,43.1,8.8,-107.92
New York Giants,422,5826,1000,5.8,13,5,343,344,526,3499,25,8,6.2,187,435,2327,19,5.3,122,127,1049,34,44.4,7.7,-144.74
Washington Commanders,434,6226,1024,6.1,9,2,358,329,500,3895,32,7,7.2,203,485,2331,17,4.8,125,107,907,30,48.4,5.0,-198.37
Tennessee Titans,437,5548,951,5.8,14,8,314,330,482,3664,27,6,7.0,178,429,1884,20,4.4,103,103,752,33,44.3,6.9,-108.81
Arizona Cardinals,451,5686,1019,5.6,19,9,355,350,532,3671,27,10,6.5,199,458,2015,19,4.4,125,93,802,31,47.6,10.6,-118.07
New York Jets,468,5575,1008,5.5,4,4,342,314,486,3415,32,0,6.7,189,496,2160,19,4.4,120,88,766,33,48.9,1.7,-154.06
Cincinnati Bengals,472,6275,996,6.3,20,7,342,337,512,3893,33,13,7.2,197,455,2382,18,5.2,124,100,838,21,43.4,12.0,-175.16
Dallas Cowboys,477,6029,974,6.2,11,5,348,359,523,4057,33,6,7.3,194,420,1972,23,4.7,128,127,1079,26,50.3,6.0,-196.78
